support_priority_rank,listing_id,name,neighbourhood_cleansed,borough,room_type,minimum_nights,price,peer_median_price,price_gap_pct,available_days,total_days,vacancy_rate,support_reason
124,53065241,"The Vera, lovely 2 bedrooms in Queens",Richmond Hill,Queens,Private room,30,204.0,111.0,0.8378,365,365,1.0,Strict 30+ night minimum AND price 84% above peer median; 100% vacant.
125,29780863,Private Studio 23 x 8th Ave 20 sec walk to Subway,Chelsea,Manhattan,Entire home/apt,30,330.0,180.0,0.8333,365,365,1.0,Strict 30+ night minimum AND price 83% above peer median; 100% vacant.
126,790530143812144447,Welcome to my Home,Bath Beach,Brooklyn,Private room,30,203.0,111.0,0.8288,365,365,1.0,Strict 30+ night minimum AND price 83% above peer median; 100% vacant.
127,1223908931949225892,Luxury Waterfront 2 Bedroom Apt,Williamsburg,Brooklyn,Entire home/apt,180,325.0,180.0,0.8056,365,365,1.0,Strict 180+ night minimum AND price 81% above peer median; 100% vacant.
128,22374799,Spacious 2 BR APT w/3Queen Sz Bed w/PVT Parking,Flatlands,Brooklyn,Private room,30,200.0,111.0,0.8018,365,365,1.0,Strict 30+ night minimum AND price 80% above peer median; 100% vacant.
129,54186567,St. Albans Cozy Inn,St. Albans,Queens,Private room,30,200.0,111.0,0.8018,365,365,1.0,Strict 30+ night minimum AND price 80% above peer median; 100% vacant.
130,627380994474321106,Spacious Bushwick Apartment,Bushwick,Brooklyn,Private room,30,200.0,111.0,0.8018,365,365,1.0,Strict 30+ night minimum AND price 80% above peer median; 100% vacant.
131,882549893727590653,Cozy 2Bedroom near Central Park,Upper East Side,Manhattan,Private room,30,200.0,111.0,0.8018,365,365,1.0,Strict 30+ night minimum AND price 80% above peer median; 100% vacant.
132,896444436938739154,"Room W private garden in Park Slope Brooklyn, NYC",Park Slope,Brooklyn,Private room,30,200.0,111.0,0.8018,365,365,1.0,Strict 30+ night minimum AND price 80% above peer median; 100% vacant.
133,1005945620349053784,NY Month-to-Month Rental,Mount Hope,Bronx,Private room,30,200.0,111.0,0.8018,365,365,1.0,Strict 30+ night minimum AND price 80% above peer median; 100% vacant.
134,1436598701872526253,Shared Apartment with 2 baths,Upper East Side,Manhattan,Private room,30,200.0,111.0,0.8018,365,365,1.0,Strict 30+ night minimum AND price 80% above peer median; 100% vacant.
135,1510933415195507919,Boutique Hotel Room Feel in Downtown LES,Lower East Side,Manhattan,Private room,30,200.0,111.0,0.8018,365,365,1.0,Strict 30+ night minimum AND price 80% above peer median; 100% vacant.
136,15444619,Brklyn Hts Luxury - Garden Calm & Downtown Verve,Boerum Hill,Brooklyn,Entire home/apt,30,323.0,180.0,0.7944,365,365,1.0,Strict 30+ night minimum AND price 79% above peer median; 100% vacant.
137,40155082,Easy & quiet stay,Throgs Neck,Bronx,Entire home/apt,30,321.0,180.0,0.7833,365,365,1.0,Strict 30+ night minimum AND price 78% above peer median; 100% vacant.
138,906769734194982627,"Penthouse w/large terrace, views",Clinton Hill,Brooklyn,Entire home/apt,180,320.0,180.0,0.7778,365,365,1.0,Strict 180+ night minimum AND price 78% above peer median; 100% vacant.
