borough,room_type,minimum_nights_group,price_setting_group,q1,median,q3,whisker_low,whisker_high,sample_size,baseline_median_vacancy,vacancy_lift_pp
Staten Island,All,1-2 nights,High fixed price,0.410959,0.7,0.944521,0.0,1.0,4,0.868493,-16.85
Staten Island,All,1-2 nights,Normal/lower fixed price,0.576712,0.868493,0.958904,0.003425,1.0,22,0.868493,0.0
Staten Island,All,3-6 nights,High fixed price,0.627397,0.668493,0.8,0.368493,1.0,3,0.868493,-20.0
Staten Island,All,3-6 nights,Normal/lower fixed price,0.80411,0.887671,0.941096,0.59863,1.0,3,0.868493,1.92
Staten Island,All,30+ nights,High fixed price,0.490411,0.736986,0.99726,0.0,1.0,21,0.868493,-13.15
Staten Island,All,30+ nights,Normal/lower fixed price,0.613699,0.873973,0.994521,0.042466,1.0,103,0.868493,0.55
Staten Island,Entire home/apt,1-2 nights,Normal/lower fixed price,0.356164,0.561644,0.767123,0.0,1.0,2,0.561644,0.0
Staten Island,Entire home/apt,3-6 nights,Normal/lower fixed price,0.720548,0.720548,0.720548,0.720548,0.720548,1,0.561644,15.89
Staten Island,Entire home/apt,30+ nights,High fixed price,0.330137,0.70411,1.0,0.0,1.0,8,0.561644,14.25
Staten Island,Entire home/apt,30+ nights,Normal/lower fixed price,0.578082,0.873973,0.981507,0.0,1.0,68,0.561644,31.23
Staten Island,Private room,1-2 nights,High fixed price,0.410959,0.7,0.944521,0.0,1.0,4,0.846575,-14.66
Staten Island,Private room,1-2 nights,Normal/lower fixed price,0.580822,0.846575,0.931507,0.054795,1.0,19,0.846575,0.0
Staten Island,Private room,3-6 nights,High fixed price,0.627397,0.668493,0.8,0.368493,1.0,3,0.846575,-17.81
Staten Island,Private room,3-6 nights,Normal/lower fixed price,0.914384,0.941096,0.967808,0.834247,1.0,2,0.846575,9.45
Staten Island,Private room,30+ nights,High fixed price,0.712329,0.736986,0.991781,0.293151,1.0,13,0.846575,-10.96
Staten Island,Private room,30+ nights,Normal/lower fixed price,0.691781,0.835616,0.99726,0.233562,1.0,35,0.846575,-1.1
Staten Island,Shared room,1-2 nights,Normal/lower fixed price,0.986301,0.986301,0.986301,0.986301,0.986301,1,0.986301,0.0
