review_year,month_num,month_label,listing_id,name,room_type,neighbourhood_cleansed,review_count,review_scores_rating,price,number_of_reviews_ltm
2020,11,Nov,33835470,"private room/Brooklyn,access tothe balcony&rooftop",Private room,Bedford-Stuyvesant,11,4.61,,1.0
2020,12,Dec,34071691,City Queen,Hotel room,SoHo,92,4.57,,0.0
2020,12,Dec,37122162,Beautiful Standard Full Room at The Ridge,Private room,Lower East Side,44,4.42,238.0,24.0
2020,12,Dec,37122502,Amazing Micro Unit W/ communal rooftop and kitchen,Private room,East Village,29,4.54,279.0,29.0
2020,12,Dec,34071962,King Room Sky,Hotel room,Midtown,28,4.6,,1.0
2020,12,Dec,38480777,Sonder at One Platt | Spacious 2BR Apt,Entire home/apt,Financial District,22,4.39,827.0,18.0
2020,12,Dec,46280898,Sonder Battery Park | Spacious Queen Studio,Entire home/apt,Battery Park City,19,4.73,367.0,97.0
2020,12,Dec,46279818,The Sunshine Village House,Private room,St. Albans,16,4.91,119.0,0.0
2020,12,Dec,34071692,Two Twin Room,Hotel room,SoHo,15,4.43,,0.0
2020,12,Dec,20970822,Pet & Tony's Residence,Entire home/apt,East Flatbush,14,4.93,100.0,0.0
2020,12,Dec,34337267,Beautiful Studio Steps from Q Train (BLUE),Entire home/apt,Flatbush,13,4.91,106.0,3.0
2020,12,Dec,46544275,Water View King Bed Hotel Room,Private room,Financial District,13,4.89,,0.0
2020,12,Dec,39537097,"Cozy Private studio in Astoria, 20 min to Manhatta",Entire home/apt,Ditmars Steinway,13,4.87,90.0,4.0
2020,12,Dec,33854066,«Birdman»Private room acces to the balcony&rooftop,Private room,Bedford-Stuyvesant,13,4.82,,1.0
2020,12,Dec,33835470,"private room/Brooklyn,access tothe balcony&rooftop",Private room,Bedford-Stuyvesant,13,4.61,,1.0
2020,12,Dec,46544321,Water View King Bed Hotel Room,Private room,Financial District,12,4.74,,0.0
2020,12,Dec,46543084,Cozy room in Upper west side Manhattan!,Private room,Upper West Side,12,4.28,,0.0
2020,12,Dec,34742861,Beautiful Studio Steps from Q Train (GREEN),Entire home/apt,Flatbush,11,4.92,102.0,2.0
2020,12,Dec,46414136,Beautiful 2 Double Bed Hotel Room,Private room,Financial District,11,4.86,,0.0
2020,12,Dec,29592768,Filomena’s,Private room,Ditmars Steinway,11,4.81,89.0,1.0
2020,12,Dec,46528425,Beautiful 2 Double Bed Hotel Room,Private room,Financial District,11,4.8,,0.0
2021,1,Jan,34071691,City Queen,Hotel room,SoHo,165,4.57,,0.0
2021,1,Jan,34071962,King Room Sky,Hotel room,Midtown,43,4.6,,1.0
2021,1,Jan,37122162,Beautiful Standard Full Room at The Ridge,Private room,Lower East Side,40,4.42,238.0,24.0
2021,1,Jan,34072160,Queen Room,Hotel room,Midtown,27,4.6,,0.0
2021,1,Jan,35906886,"Nolitan Hotel, Balcony Room",Private room,Little Italy,21,4.62,,7.0
